Festo,DST
-230.5,-99.6
-230.6,-99.6
-230.7,-99.7
-230.7,-99.6
-230.7,-99.6
-230.6,-99.5
-230.5,-99.4
-230.4,-99.4
-230.3,-99.4
-230.2,-99.3
-230.0,-99.1
-229.8,-99.0
-229.7,-98.9
-229.7,-98.9
-229.8,-98.8
-230.0,-98.8
-230.1,-98.8
-230.2,-98.8
-230.2,-98.8
-230.3,-98.9
-230.4,-99.1
-230.4,-99.2
-230.4,-99.4
-230.5,-99.5
-230.5,-99.5
-230.5,-99.5
-230.5,-99.5
-230.4,-99.5
-230.4,-99.5
-230.3,-99.5
-230.1,-99.5
-230.0,-99.5
-229.9,-99.5
-229.8,-99.5
-229.9,-99.8
-229.9,-100.1
-229.9,-100.5
-229.9,-100.8
-230.0,-101.0
-230.0,-101.1
-230.1,-101.1
-230.3,-101.2
-230.4,-101.1
-230.5,-101.1
-230.6,-101.2
-230.6,-101.2
-230.7,-101.5
-230.7,-101.7
-230.6,-101.8
-230.6,-102.0
-230.4,-101.9
-230.3,-101.7
-230.3,-101.8
-230.3,-101.6
-230.3,-101.6
-230.3,-101.6
-230.4,-101.6
-230.5,-101.4
-230.5,-101.3
-230.5,-101.2
-230.4,-101.1
-230.4,-101.1
-230.4,-101.1
-230.4,-101.1
-230.4,-101.1
-230.4,-101.2
-230.4,-101.3
-230.3,-101.4
-230.2,-101.4
-230.1,-101.5
-230.1,-101.5
-230.1,-101.5
-230.1,-101.4
-230.1,-101.2
-230.1,-101.1
-230.1,-101.1
-230.1,-101.2
-230.1,-101.2
-230.0,-101.2
-229.9,-101.2
-229.9,-101.2
-229.8,-101.3
-229.7,-101.3
-229.8,-101.1
-229.7,-101.0
-229.9,-100.9
-230.2,-100.8
-230.2,-100.7
-230.5,-100.5
-230.6,-100.5
-230.6,-100.4
-230.6,-100.4
-230.5,-100.4
-230.4,-100.2
-230.3,-100.1
-230.2,-100.1
-230.1,-100.1
-230.1,-100.0
-230.0,-100.3
-230.0,-100.6
-230.1,-100.6
-230.1,-100.8
-230.1,-100.9
-230.1,-100.8
-230.0,-101.0
-230.0,-101.1
-230.1,-101.0
-230.1,-101.1
-230.1,-101.2
-230.2,-101.4
-230.3,-101.6
-230.4,-101.7
-230.5,-101.6
-230.5,-101.5
-230.4,-101.2
-230.4,-101.0
-230.3,-100.9
-230.3,-100.7
-230.2,-100.7
-230.2,-100.7
-230.1,-100.8
-230.1,-100.9
-230.1,-101.0
-230.1,-101.0
-230.2,-101.0
-230.3,-101.0
-230.4,-101.0
-230.4,-100.9
-230.4,-100.9
-230.3,-101.0
-230.3,-101.2
-230.3,-101.3
-230.3,-101.5
-230.2,-101.5
-230.2,-101.4
-230.2,-101.4
-230.3,-101.4
-230.3,-101.3
-230.4,-101.3
-230.4,-101.2
-230.4,-101.2
-230.4,-101.2
-230.4,-101.1
-230.5,-101.1
-230.5,-101.1
-230.6,-100.9
-230.6,-100.8
-230.7,-100.7
-230.7,-100.5
-230.7,-100.4
-230.7,-100.3
-230.7,-100.1
-230.8,-100.1
-230.8,-100.0
-230.7,-100.0
-230.6,-100.0
-230.4,-100.1
-230.3,-100.1
-230.2,-100.1
-230.1,-100.1
-230.1,-100.2
-230.1,-100.3
-230.1,-100.4
-230.1,-100.5
-230.1,-100.5
-230.0,-100.4
-230.0,-100.3
-230.2,-100.2
-230.4,-100.0
-230.6,-99.9
-230.8,-99.8
-230.8,-99.7
-230.8,-99.6
-230.7,-99.6
-230.6,-99.6
-230.6,-99.7
-230.5,-99.8
-230.5,-99.7
-230.5,-99.6
-230.4,-99.5
-230.5,-99.4
-230.4,-99.3
-230.3,-99.2
-230.2,-99.2
-230.0,-99.1
-230.0,-99.1
-230.0,-99.1
-230.0,-99.0
-230.1,-99.0
-230.3,-99.0
-230.4,-98.9
-230.5,-98.8
-230.5,-98.6
-230.5,-98.5
-230.6,-98.4
-230.5,-98.3
-230.3,-98.3
-230.1,-98.3
-230.0,-98.4
-230.0,-98.5
-230.2,-98.5
-230.3,-98.7
-230.3,-98.8
-230.2,-98.9
-230.3,-99.1
-230.2,-99.1
-230.2,-99.1
-230.1,-99.0
-230.0,-99.0
-230.0,-99.0
-230.0,-98.9
-230.1,-98.9
-230.2,-98.9
-230.2,-99.0
-230.2,-99.0
-230.3,-98.9
-230.3,-98.8
-230.4,-98.7
-230.6,-98.6
-230.7,-98.7
-230.8,-98.7
-230.8,-98.7
-230.7,-98.7
-230.6,-98.8
-230.5,-98.7
-230.6,-98.7
-230.6,-98.6
-230.7,-98.6
-230.7,-98.6
-230.7,-98.5
-230.7,-98.6
-230.6,-98.6
-230.6,-98.6
-230.5,-98.6
